Data;Decessi per settimana
10 - 16 mar;0
17 - 23 mar;0
24 - 30 mar;1
31 mar - 6 apr;3
7 - 13 apr;1
14 - 20 apr;0
21 - 27 apr;0
28 apr - 4 mag;0
5 - 11 mag;0
12 - 18 mag;0
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;1
6 - 12 ott;0
13 - 19 ott;0
20 - 26 ott;0
27 ott - 2 nov;0
3 - 9 nov;1
10 - 16 nov;3
17 - 23 nov;5
24 - 30 nov;5
1 - 7 dic;1
8 - 14 dic;4
15 - 21 dic;1
22 - 28 dic;1
29 dic - 4 gen;3
5 -11 gen;2
12 - 18 gen;0
19 - 25 gen;5
26 gen - 1 feb;1
2 - 8 feb;6
9 - 15 feb;6
16 - 22 feb;3
23 feb - 1 mar;2
2 - 8 mar;3
9 - 15 mar;6
16 - 22 mar;2
23 - 29 mar;3
30 mar - 5 apr;2
6 - 12 apr;2
13 - 19 apr;3
20 - 26 apr;1
27 apr - 3 mag;4
4 - 10 mag;3
11 - 17 mag;3
18 - 24 mag;2
25 - 31 mag;1
1 - 7 giu;0
8 - 14 giu;1
15 - 21 giu;1
22 - 28 giu;0
29 giu - 5 lug;0
6 - 12 lug;0
13 - 19 lug;0
20 - 26 lug;0
27 lug - 2 ago;0
3 - 9 ago;0
