"Comune","A domicilio","Guariti/Dimessi","Deceduti","Ricoverati","Totale casi"
"ACQUAFORMOSA",0,0,0,0,0
"ACQUAPPESA",0,0,0,0,0
"ACRI",4,0,0,0,4
"AIELLO CALABRO",0,0,0,0,0
"AIETA",0,0,0,0,0
"ALBIDONA",0,0,0,0,0
"ALESSANDRIA DEL CARRETTO",0,0,0,0,0
"ALTILIA",0,0,0,0,0
"ALTOMONTE",2,0,3,0,5
"AMANTEA",3,2,1,0,6
"AMENDOLARA",0,0,0,0,0
"APRIGLIANO",0,0,0,0,0
"BELMONTE CALABRO",0,0,0,0,0
"BELSITO",4,1,2,0,7
"BELVEDERE MARITTIMO",1,0,0,0,1
"BIANCHI",0,0,0,0,0
"BISIGNANO",11,0,0,0,11
"BOCCHIGLIERO",2,4,15,1,22
"BONIFATI",0,0,0,0,0
"BUONVICINO",0,0,0,0,0
"CALOPEZZATI",0,0,0,0,0
"CALOVETO",0,0,0,0,0
"CAMPANA",0,0,0,0,0
"CANNA",0,0,0,0,0
"CARIATI",1,0,3,0,4
"CAROLEI",0,0,0,0,0
"CARPANZANO",0,0,3,0,3
"CASALI DEL MANCO",2,0,1,0,3
"CASSANO ALLO IONIO",1,0,0,0,1
"CASTIGLIONE COSENTINO",0,0,0,0,0
"CASTROLIBERO",0,0,0,0,0
"CASTROREGIO",0,0,0,0,0
"CASTROVILLARI",0,0,2,0,2
"CELICO",0,0,0,0,0
"CELLARA",0,0,0,0,0
"CERCHIARA DI CALABRIA",0,0,0,0,0
"CERISANO",0,0,0,0,0
"CERVICATI",0,0,0,0,0
"CERZETO",0,0,0,0,0
"CETRARO",2,1,0,0,3
"CIVITA",0,0,0,0,0
"CLETO",0,0,0,0,0
"COLOSIMI",1,0,0,0,1
"CORIGLIANO-ROSSANO",13,2,26,1,42
"COSENZA",8,2,15,1,26
"CROPALATI",0,0,0,0,0
"CROSIA",1,0,0,0,1
"DIAMANTE",1,0,0,0,1
"DIPIGNANO",3,0,1,0,4
"DOMANICO",0,0,0,0,0
"DONNICI",0,0,0,0,0
"FAGNANO CASTELLO",6,1,0,0,7
"FALCONARA ALBANESE",0,0,0,0,0
"FIGLINE VEGLIATURO",1,0,3,1,5
"FIRMO",0,0,0,0,0
"FIUMEFREDDO BRUZIO",0,0,0,0,0
"FRANCAVILLA MARITTIMA",1,1,1,0,3
"FRASCINETO",1,0,0,0,1
"FUSCALDO",1,0,2,0,3
"GRIMALDI",0,0,1,0,1
"GRISOLIA",0,0,0,0,0
"GUARDIA PIEMONTESE",0,0,0,0,0
"LAGO",0,0,0,0,0
"LAINO BORGO",0,0,0,0,0
"LAINO CASTELLO",0,0,0,0,0
"LAPPANO",0,0,0,0,0
"LATTARICO",1,0,0,0,1
"LONGOBARDI",0,0,0,0,0
"LONGOBUCCO",0,0,0,0,0
"LUNGRO",0,0,0,0,0
"LUZZI",5,0,0,0,5
"MAIERA'",0,0,0,0,0
"MALITO",0,0,0,0,0
"MALVITO",0,0,0,0,0
"MANDATORICCIO",0,0,0,0,0
"MANGONE",1,0,2,0,3
"MARANO MARCHESATO",3,1,0,0,4
"MARANO PRINCIPATO",2,0,0,0,2
"MARZI",7,1,2,0,10
"MENDICINO",0,0,1,0,1
"MONGRASSANO",0,0,0,0,0
"MONTALTO UFFUGO",8,0,2,0,10
"MONTEGIORDANO",0,0,0,0,0
"MORANO CALABRO",0,0,0,0,0
"MORMANNO",0,0,0,0,0
"MOTTAFOLLONE",0,0,0,0,0
"NOCARA",0,0,0,0,0
"ORIOLO CALABRO",15,1,11,1,28
"ORSOMARSO",0,0,0,0,0
"PALUDI",0,0,0,0,0
"PANETTIERI",0,0,0,0,0
"PAOLA",9,1,4,1,15
"PAPASIDERO",0,0,0,0,0
"PARENTI",0,0,2,0,2
"PATERNO CALABRO",0,0,0,0,0
"PEDIVIGLIANO",0,0,0,0,0
"PIANE CRATI",4,0,1,1,6
"PIETRAFITTA",0,0,0,0,0
"PIETRAPAOLA",0,0,0,0,0
"PLATACI",0,0,0,0,0
"PRAIA A MARE",0,0,1,0,1
"RENDE",3,2,3,0,8
"ROCCA IMPERIALE",0,0,0,0,0
"ROGGIANO GRAVINA",1,0,1,0,2
"ROGLIANO",8,1,24,1,34
"ROSE",0,0,0,0,0
"ROSETO CAPO SPULICO",0,0,0,0,0
"ROTA GRECA",3,0,0,0,3
"ROVITO",0,0,0,0,0
"SAN BASILE",0,0,0,0,0
"SAN BENEDETTO ULLANO",0,0,0,0,0
"SAN COSMO ALBANESE",0,0,0,0,0
"SAN DEMETRIO CORONE",0,0,0,0,0
"SAN DONATO DI NINEA",0,0,0,0,0
"SAN FILI",0,0,0,0,0
"SAN GIORGIO ALBANESE",0,0,0,0,0
"SAN GIOVANNI IN FIORE",0,0,0,0,0
"SAN LORENZO BELLIZZI",0,0,0,0,0
"SAN LORENZO DEL VALLO",0,0,0,0,0
"SAN LUCIDO",28,4,22,0,54
"SAN MARCO ARGENTANO",3,0,1,0,4
"SAN MARTINO DI FINITA",3,0,0,0,3
"SAN NICOLA ARCELLA",0,0,0,0,0
"SAN PIETRO IN AMANTEA",0,0,0,0,0
"SAN PIETRO IN GUARANO",0,1,0,0,1
"SAN SOSTI",0,0,0,0,0
"SAN VINCENZO LA COSTA",0,0,0,0,0
"SANGINETO",0,0,0,0,0
"SANT'AGATA DI ESARO",0,0,0,0,0
"SANTA CATERINA ALBANESE",1,0,1,0,2
"SANTA DOMENICA TALAO",0,0,0,0,0
"SANTA MARIA DEL CEDRO",0,0,1,0,1
"SANTA SOFIA D'EPIRO",1,0,0,0,1
"SANTO STEFANO DI ROGLIANO",1,0,4,0,5
"SARACENA",0,0,0,0,0
"SCALA COELI",1,2,1,0,4
"SCALEA",0,0,0,0,0
"SCIGLIANO",0,0,0,0,0
"SERRA D'AIELLO",0,0,0,0,0
"SPEZZANO ALBANESE",0,0,0,0,0
